0148@@,2022-01-27,324,,,,,,,,,,,,,
0149@@,2022-01-27,925,hungout,,,,,,,,,,,,
0150@@,2022-01-28,1871,,,,,,,,,,,,,
0151@@,2022-01-31,1280,,,,,,,,,,,,,
0152@@,2022-02-01,530,,,,,,,,,,,,,
0153@@,2022-02-01,660,goods,,,,,,,,,,,,,
0154@@,2022-02-02,981,,,,,,,,,,,,,
0155@@,2022-02-03,339,,,,,,,,,,,,,,
0156@@,2022-02-04,116,,,,,,,,,,,,,
0157@@,2022-02-06,244,,,,,,,,,,,,,
0158@@,2022-02-06,605,hungout,,,,,,,,,,,,
0159@@,2022-02-07,600,,,,,,,,,,,,,
0160@@,2022-02-08,951,,,,,,,,,,,,,
0161@@,2022-02-10,236,,,,,,,,,,,,,
0162@@,2022-02-10,820,hungout,,,,,,,,,,,,
0163@@,2022-02-11,507,,,,,,,,,,,,,
0164@@,2022-02-14,594,,,,,,,,,,,,,
0165@@,2022-02-15,806,,,,,,,,,,,,,
0167@@,2022-02-16,303,,,,,,,,,,,,,
0168@@,2022-02-17,458,,,,,,,,,,,,,
0169@@,2022-02-17,820,hungout,,,,,,,,,,,,
0170@@,2022-02-18,148,goods,,,,,,,,,,,,
0171@@,2022-02-18,750,eatingout,,,,,,,,,,
0172@@,2022-02-19,940,,,,,,,,,,,,,
0173@@,2022-02-20,605,,,,,,,,,,,,,
0035@@,2022-02-20,103000,costs,yatin,,,,,,,,,,,
0174@@,2022-02-21,1292,,,,,,,,,,,,,,,
0175@@,2022-02-22,720,hungout,,,,,,,,,,,,
0176@@,2022-02-23,581,,,,,,,,,,,,,
0177@@,2022-02-24,1080,,,,,,,,,,,,,
0178@@,2022-02-24,515,hungout,,,,,,,,,,,,,
0179@@,2022-02-25,747,,,,,,,,,,,,,
0180@@,2022-02-27,1159,,,,,,,,,,,,,
0181@@,2022-02-27,750,hungout,
0181@@,2022-02-28,820,hungout,,,,,,,,,,,,
0182@@,2022-02-28,259,,,,,,,,,,,,,
